"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.mbdr.benchmarking.BenchMark.baseRankDirectImplementation","thrpt",1,20,0.002281,0.000270,"ops/ms"
"com.mbdr.benchmarking.BenchMark.constructRankedModelLC","thrpt",1,20,0.000713,0.000003,"ops/ms"
"com.mbdr.benchmarking.BenchMark.constructRankedModelRC","thrpt",1,20,0.000788,0.000008,"ops/ms"
"com.mbdr.benchmarking.BenchMark.modelbasedEntailmentCheckerRC","thrpt",1,20,11.009189,0.154532,"ops/ms"
"com.mbdr.benchmarking.BenchMark.baseRankDirectImplementation","avgt",1,20,402.546907,30.353569,"ms/op"
"com.mbdr.benchmarking.BenchMark.constructRankedModelLC","avgt",1,20,1405.720925,7.743036,"ms/op"
"com.mbdr.benchmarking.BenchMark.constructRankedModelRC","avgt",1,20,1273.847238,4.320326,"ms/op"
"com.mbdr.benchmarking.BenchMark.modelbasedEntailmentCheckerRC","avgt",1,20,0.091206,0.001210,"ms/op"
"com.mbdr.benchmarking.BenchMark.baseRankDirectImplementation","sample",1,60,401.386155,17.083968,"ms/op"
"com.mbdr.benchmarking.BenchMark.baseRankDirectImplementation:baseRankDirectImplementation·p0.00","sample",1,1,332.922880,NaN,"ms/op"
"com.mbdr.benchmarking.BenchMark.baseRankDirectImplementation:baseRankDirectImplementation·p0.50","sample",1,1,392.429568,NaN,"ms/op"
"com.mbdr.benchmarking.BenchMark.baseRankDirectImplementation:baseRankDirectImplementation·p0.90","sample",1,1,456.916992,NaN,"ms/op"
"com.mbdr.benchmarking.BenchMark.baseRankDirectImplementation:baseRankDirectImplementation·p0.95","sample",1,1,485.962547,NaN,"ms/op"
"com.mbdr.benchmarking.BenchMark.baseRankDirectImplementation:baseRankDirectImplementation·p0.99","sample",1,1,497.549312,NaN,"ms/op"
"com.mbdr.benchmarking.BenchMark.baseRankDirectImplementation:baseRankDirectImplementation·p0.999","sample",1,1,497.549312,NaN,"ms/op"
"com.mbdr.benchmarking.BenchMark.baseRankDirectImplementation:baseRankDirectImplementation·p0.9999","sample",1,1,497.549312,NaN,"ms/op"
"com.mbdr.benchmarking.BenchMark.baseRankDirectImplementation:baseRankDirectImplementation·p1.00","sample",1,1,497.549312,NaN,"ms/op"
"com.mbdr.benchmarking.BenchMark.constructRankedModelLC","sample",1,20,1405.511270,6.241630,"ms/op"
"com.mbdr.benchmarking.BenchMark.constructRankedModelLC:constructRankedModelLC·p0.00","sample",1,1,1394.606080,NaN,"ms/op"
"com.mbdr.benchmarking.BenchMark.constructRankedModelLC:constructRankedModelLC·p0.50","sample",1,1,1405.091840,NaN,"ms/op"
"com.mbdr.benchmarking.BenchMark.constructRankedModelLC:constructRankedModelLC·p0.90","sample",1,1,1415.577600,NaN,"ms/op"
